epochs steps out_loss offset_loss train_accuracy time
0 0 0.665 2.252 0.814 4.044
0 1 0.722 2.374 0.776 4.402
0 2 0.393 2.520 0.875 4.776
0 3 0.435 2.530 0.841 5.186
0 4 0.436 3.643 0.933 5.594
0 5 0.820 2.094 0.761 5.890
0 6 0.504 1.825 0.800 6.126
0 7 0.420 3.297 0.828 6.385
0 8 0.360 3.528 0.871 6.677
0 9 0.567 2.142 0.844 6.903
0 10 0.289 2.830 0.901 7.219
0 11 0.376 2.813 0.850 7.437
0 12 0.202 2.931 0.929 7.764
0 13 0.312 2.253 0.896 8.031
0 14 0.308 2.772 0.866 8.342
0 15 0.405 2.571 0.818 8.654
0 16 0.339 2.728 0.884 8.970
0 17 0.328 2.915 0.867 9.305
0 18 0.312 2.712 0.897 9.581
0 19 0.320 2.694 0.889 9.857
0 20 0.582 2.508 0.752 10.072
0 21 0.327 2.690 0.881 10.280
0 22 0.272 3.075 0.892 10.577
0 23 0.304 3.050 0.911 10.858
0 24 0.274 2.747 0.887 11.198
0 25 0.295 2.852 0.870 11.547
0 26 0.332 2.796 0.893 11.854
0 27 0.254 2.802 0.893 12.156
0 28 0.459 2.553 0.838 12.433
0 29 0.313 2.918 0.886 12.638
0 30 0.315 2.694 0.881 12.920
0 31 0.263 2.395 0.892 13.198
0 32 1.441 4.226 0.634 13.376
0 33 0.538 3.349 0.792 13.753
0 34 0.280 2.994 0.888 14.106
0 35 0.283 2.867 0.880 14.412
0 36 0.266 2.652 0.892 14.635
0 37 0.277 2.805 0.884 14.910
0 38 0.872 2.545 0.787 15.091
0 39 0.198 2.861 0.924 15.369
0 40 0.145 3.296 0.971 15.754
0 41 0.566 2.399 0.782 16.058
0 42 0.397 2.795 0.811 16.351
0 43 0.210 2.933 0.928 16.680
0 44 0.639 3.546 0.821 16.954
0 45 0.557 2.382 0.779 17.189
0 46 0.327 2.747 0.895 17.461
0 47 0.764 2.368 0.758 17.691
0 48 1.030 2.817 0.575 17.850
0 49 0.408 2.545 0.848 18.084
0 50 0.256 2.946 0.896 18.397
0 51 0.433 3.080 0.839 18.711
0 52 0.457 3.567 0.850 19.194
0 53 0.357 2.371 0.861 19.479
0 54 0.709 3.426 0.794 19.705
0 55 0.287 2.774 0.912 20.040
0 56 0.318 2.873 0.902 20.235
0 57 1.120 3.665 0.640 20.421
0 58 0.216 3.078 0.931 20.764
0 59 0.935 2.268 0.650 20.986
0 60 0.495 3.085 0.845 21.245
0 61 0.344 3.610 0.878 21.619
0 62 0.295 3.604 0.896 22.000
0 63 0.412 2.378 0.853 22.259
0 64 0.349 2.909 0.858 22.608
0 65 0.475 2.374 0.816 22.871
0 66 0.129 3.239 0.958 23.240
0 67 0.369 2.436 0.852 23.516
0 68 0.470 2.372 0.830 23.660
0 69 0.276 2.809 0.894 23.938
0 70 0.533 2.220 0.784 24.136
0 71 0.424 3.707 0.846 24.391
0 72 0.376 2.844 0.845 24.673
0 73 0.571 2.440 0.767 24.833
0 74 0.642 3.544 0.823 25.212
0 75 0.373 3.056 0.861 25.547
0 76 0.426 2.846 0.806 25.893
0 77 0.281 3.074 0.888 26.257
0 78 0.364 2.802 0.842 26.565
0 79 0.286 3.196 0.905 26.913
0 80 0.599 3.665 0.842 27.168
0 81 0.294 2.841 0.884 27.457
0 82 0.552 2.552 0.821 27.691
0 83 0.247 3.021 0.905 28.040
0 84 0.257 2.835 0.889 28.315
0 85 1.435 2.314 0.558 28.497
0 86 0.266 2.927 0.895 28.792
0 87 0.262 2.457 0.901 29.057
0 88 0.579 2.318 0.784 29.266
0 89 0.300 2.886 0.871 29.585
0 90 0.309 3.213 0.872 29.881
0 91 0.318 2.140 0.919 30.065
0 92 1.625 3.584 0.538 30.182
0 93 0.265 2.564 0.910 30.392
0 94 0.378 2.993 0.836 30.728
0 95 0.408 2.661 0.854 31.045
0 96 0.442 2.389 0.834 31.344
0 97 0.392 2.992 0.864 31.604
0 98 0.514 2.137 0.812 31.808
0 99 0.798 3.983 0.714 32.033
0 100 0.541 2.944 0.844 32.360
0 101 0.407 2.748 0.833 32.648
0 102 0.916 2.256 0.677 32.848
0 103 0.469 3.641 0.812 33.092
0 104 0.315 2.683 0.900 33.327
0 105 0.344 2.946 0.889 33.651
0 106 0.534 2.241 0.796 33.866
0 107 0.359 2.863 0.875 34.129
0 108 0.261 2.881 0.910 34.426
0 109 0.447 2.486 0.836 34.662
0 110 0.349 3.051 0.876 34.944
0 111 0.367 3.001 0.871 35.286
0 112 0.384 2.196 0.834 35.467
0 113 0.305 2.766 0.870 35.713
0 114 0.428 2.307 0.824 35.952
0 115 0.272 2.931 0.890 36.258
0 116 0.353 2.984 0.855 36.584
0 117 0.326 2.561 0.853 36.897
0 118 0.258 2.913 0.898 37.228
0 119 0.709 2.709 0.725 37.457
0 120 0.233 2.933 0.908 37.727
0 121 0.206 2.478 0.923 37.932
0 122 0.322 2.371 0.894 38.192
0 123 0.245 2.942 0.915 38.523
0 124 0.425 2.295 0.825 38.793
0 125 0.199 3.469 0.929 39.211
0 126 0.381 2.075 0.858 39.458
0 127 0.777 4.753 0.800 39.639
0 128 0.228 2.938 0.910 39.989
0 129 0.365 2.755 0.880 40.244
0 130 0.376 3.308 0.851 40.503
0 131 0.271 2.976 0.888 40.786
0 132 0.410 2.164 0.839 40.933
0 133 0.259 3.180 0.892 41.246
0 134 0.235 2.965 0.908 41.607
0 135 0.388 2.626 0.824 41.832
0 136 0.805 3.377 0.638 41.976
0 137 0.432 2.592 0.838 42.219
0 138 0.342 3.166 0.840 42.551
0 139 0.353 2.652 0.871 42.809
0 140 0.490 2.179 0.789 43.013
0 141 0.191 3.692 0.938 43.441
0 142 0.208 2.942 0.919 43.757
0 143 0.432 2.655 0.843 44.000
0 144 0.265 2.856 0.898 44.298
0 145 0.278 3.084 0.901 44.617
0 146 0.236 2.874 0.916 44.923
0 147 0.311 2.651 0.850 45.198
0 148 0.267 2.881 0.914 45.463
0 149 0.241 3.277 0.905 45.729
1 0 0.473 2.335 0.810 59.024
1 1 0.579 3.847 0.802 59.309
1 2 0.255 2.521 0.920 59.614
1 3 0.231 2.930 0.901 60.465
1 4 0.223 3.077 0.925 60.835
1 5 0.324 2.947 0.878 61.155
1 6 0.210 2.890 0.926 61.456
1 7 0.466 2.230 0.818 61.681
1 8 0.492 2.534 0.812 61.885
1 9 0.231 3.123 0.909 62.219
1 10 0.359 2.945 0.841 62.546
1 11 0.295 2.842 0.878 62.879
1 12 0.273 2.751 0.892 63.192
1 13 0.410 2.249 0.839 63.403
1 14 0.295 2.513 0.898 63.607
1 15 0.490 3.156 0.795 63.904
1 16 0.259 2.759 0.892 64.226
1 17 0.324 2.774 0.859 64.534
1 18 0.292 2.861 0.865 64.878
1 19 0.247 3.307 0.897 65.189
1 20 1.197 2.160 0.658 65.341
1 21 0.199 2.958 0.925 65.635
1 22 0.434 2.432 0.817 65.907
1 23 0.220 3.247 0.907 66.228
1 24 0.314 2.135 0.877 66.440
1 25 0.183 2.788 0.924 66.716
1 26 0.549 2.895 0.784 66.897
1 27 0.207 2.792 0.922 67.146
