epoch,IoU_flat,IoU_fence,IoU_object,IoU_veget,IoU_terrain,IoU_building,IoU_car,mIoU,valIoU_flat,valIoU_fence,valIoU_object,valIoU_veget,valIoU_terrain,valIoU_building,valIoU_car,mVal_IoU
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6079865098202833,0.0,0.19765764235773328,0.6033069918839294,0.23390603816812516,0.26957407296356223,0.0,27.320446502766195
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6123148537835286,0.0,0.1502520201495918,0.9194830347485277,0.39602067134987284,0.8365500671076859,0.0,41.637437816274385
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145027410880826,0.0,0.17820502462410492,0.9351006484904473,0.5347467158774679,0.8335692080556233,0.0,42.8017762590818
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6614358295703757,0.0,0.15262486036759015,0.901909513262328,0.2847115309336003,0.7055766000918738,0.0,38.6608333460824
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6702963135379523,0.0,0.2916565900611321,0.9425663823946674,0.38715277314720214,0.8064775366777143,0.0,44.259279940266694
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6460218717454445,0.0,0.0955984053294607,0.9377514040593625,0.4708910722185926,0.7949226634586913,0.0,42.07407738302217
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6574760154523429,0.0,0.2876822685662062,0.9307547552872101,0.4545241385492062,0.7660293371377136,0.006032996798075228,44.321421597010776
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949989574467176,0.0,0.3312858312586989,0.9364956741406392,0.4420855128798711,0.8099496055731923,0.0,45.925936875701694
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6768833841023705,0.0,0.3201974364843406,0.9372362997444506,0.4143189709060053,0.7567564453982818,0.0,44.362750523363545
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6922476767398564,0.0,0.2677635887141647,0.9359066424537521,0.575157673844341,0.7802854497483344,0.0,46.4480147357207
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6628805184814315,0.0,0.2951266195306885,0.9475208881065897,0.33327855565087505,0.8449899202688882,0.0,44.05423574340676
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7029245332698055,0.0,0.4212633815133396,0.93767446213813,0.5776743922010381,0.7865996649822136,0.0,48.944806201493236
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7226512307000287,0.0,0.35151659517615397,0.9315143891733463,0.5667755322654735,0.7658358735190266,0.0,47.68990886905756
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722131758293553,0.0,0.3354775669460567,0.9402434964913365,0.5051034348415808,0.8043227350495776,0.0,47.246842737458635
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4914172966775965,0.0,0.46486570889562256,0.93984946076278,0.5099256096739643,0.8880691817198925,0.0,47.05896082471222
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7401040261712626,0.0,0.5321184191780395,0.9347804999288621,0.5458443378414654,0.7239097924182102,0.0,49.66795822196914
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6721264585966172,0.0,0.39170917331457294,0.9255621191956738,0.5265395541419265,0.8522819335573709,0.0,48.11741769723088
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7451422919556802,0.0,0.366245694575871,0.9396071435080958,0.5844050155229746,0.7650244097352479,0.0,48.577493647112426
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6822666454273937,0.0,0.025941890163957385,0.9261826542037711,0.41017793421158644,0.7367039908719534,0.0,39.73247306969517
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6818845411805462,0.0,0.3423268986850766,0.9256785353658775,0.4506613447913212,0.7233048113934772,0.007205240173885891,44.72944816557406
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6890908683861867,0.0,0.3517731655211821,0.9464728615086285,0.5608290253273828,0.8175250092532244,0.0,48.08129899995149
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7262223843947352,0.0,0.3689447701042159,0.9316780945271476,0.5022873795698771,0.8507477016772192,0.0,48.2840047181885
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7093234277140615,0.0,0.5035260930494024,0.9608446583704031,0.5593989058954456,0.8801458778528887,0.0,51.61769946974574
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095948303564611,0.0,0.44899598389967904,0.9508822897297865,0.489715350616446,0.8530641778676087,0.0,47.889323320999736
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6905570769314371,0.0,0.2958517066555731,0.9518039162663483,0.5035649029058468,0.8749439924434036,0.0,47.381737074322984
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716773482929771,0.0,0.37705578842493903,0.9411062595817726,0.5740436494181616,0.8016399269411117,0.0,48.723130104225085
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6885012045489015,0.0,0.485038495080162,0.954936170013821,0.38508208121018733,0.9116805663194376,0.0,48.93197881675014
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7475487102575572,0.0,0.38575574551841274,0.9410914670300132,0.6128063831424735,0.8467302117519933,0.0,50.48475025286358
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6665654505539615,0.0,0.33862862697855173,0.937844796433182,0.46563327297155627,0.7927900150367185,0.0,45.73517374248529
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7124292713640518,0.0,0.3511188861906029,0.9421847392470079,0.5530160338470125,0.8203803046756071,0.0,48.27327479034689
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796512120273225,0.0,0.434845911151432,0.9407925180823011,0.4451903053437486,0.8350535540307321,0.0,47.65047858050767
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6713767829798933,0.0,0.45412808933704735,0.9460770795784061,0.5645957652342732,0.8365575426918206,0.0,49.61050371173486
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7823290365503134,0.0,0.4476720729082811,0.9438649389317677,0.6346835617950508,0.8342529944962959,0.0,52.0400372097387
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6730981610837767,0.0,0.4430721180832572,0.9495982468940839,0.4237646024258425,0.838250662249517,0.1066176466668469,49.062877677190336
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657323763179495,0.0,0.4309451219183731,0.9418428740990655,0.4327375565032787,0.8502453033283446,0.0,47.32992312897938
