epochs steps out_loss offset_loss train_accuracy time
0 0 0.454 2.783 0.854 9.885
0 1 0.282 2.938 0.887 10.251
0 2 0.289 3.164 0.907 10.553
0 3 0.566 2.673 0.767 10.719
0 4 0.578 2.356 0.829 10.986
0 5 0.834 4.086 0.717 11.393
0 6 0.624 2.675 0.820 11.740
0 7 0.486 2.726 0.816 12.034
0 8 0.334 2.644 0.876 12.374
0 9 0.620 1.935 0.747 12.536
0 10 0.466 2.980 0.825 12.801
0 11 0.338 2.580 0.878 13.089
0 12 0.607 2.447 0.795 13.368
0 13 0.418 2.588 0.865 13.633
0 14 0.562 1.971 0.797 13.792
0 15 0.454 2.818 0.835 14.115
0 16 0.555 3.134 0.816 14.449
0 17 1.291 3.481 0.668 14.733
0 18 0.783 2.150 0.713 14.891
0 19 0.362 2.869 0.872 15.114
0 20 0.372 2.844 0.861 15.444
