epoch,IoU_rail track,IoU_gate,IoU_person,IoU_vegetation,IoU_terrain,IoU_garage,IoU_license plate,mIoU,valIoU_rail track,valIoU_gate,valIoU_person,valIoU_vegetation,valIoU_terrain,valIoU_garage,valIoU_license plate,mVal_IoU
37,0.8996163,0.1649825,0.4820426,0.7867032,0.47420835,0.7510091,0.7864128,62.071067094802856,0.9068137294666669,0.18564748174123225,0.392506323442893,0.7599578511016797,0.5019583286326182,0.7185090054870031,0.780293910255953,60.65266614468637
38,0.8978691,0.28917927,0.28612095,0.8014291,0.5010804,0.83310443,0.8339792,63.46803307533264,0.9061020886405935,0.2002223630555905,0.3739425821163424,0.7651685538186433,0.5008719949308524,0.7308269993885271,0.7899754531215396,60.958714786744125
39,0.91037345,0.27734458,0.17093274,0.7885567,0.51890576,0.7737798,0.7734471,60.19057631492615,0.9068179714715374,0.21300310385906962,0.3613145654825916,0.7665143854700818,0.5003572570848999,0.7356214920798846,0.7779520528263888,60.87972611820648
40,0.9169475,0.15282866,0.43282503,0.7911703,0.52262866,0.81203955,0.7905271,63.128095865249634,0.9083186422486234,0.19765421012239617,0.3980749105590351,0.7684232755325014,0.49857954812670735,0.7432870496414989,0.7801819904217375,61.35028038075
41,0.9256371,0.25738034,0.33807868,0.7903136,0.5405943,0.79930145,0.7834786,63.35406303405762,0.9092424539502265,0.2062793041183302,0.3930849409778996,0.7711110027157319,0.49841095251212747,0.7476636287266779,0.7870352472219587,61.611821860327886
42,0.90869063,0.13495637,0.45743552,0.77524346,0.49247432,0.7981777,0.8335681,62.864941358566284,0.911472048091438,0.19628759732510817,0.40842967687510967,0.7747743099729548,0.5048961532250612,0.7636216943031715,0.7921246916604858,62.16580244933327
43,0.90732795,0.18378274,0.21513073,0.7904687,0.5331559,0.82192075,0.77135104,60.33053994178772,0.9095547188025322,0.19581750670031967,0.3980306351034365,0.7761372004074776,0.5055844300713712,0.7688350430271529,0.7941234541442677,62.11547126080797
44,0.89923745,0.23224331,0.4277562,0.7906908,0.44268033,0.82455015,0.8050112,63.1738543510437,0.9092751616656412,0.19876824748445182,0.4029978820851991,0.7779029207203352,0.5018760626373795,0.7706426226528871,0.8033649044810502,62.354682881813495
45,0.9046254,0.11537898,0.29868558,0.7591431,0.4164335,0.81888604,0.72821766,57.73386359214783,0.9092476506246714,0.18597783461372108,0.3904966459582485,0.7730592027423473,0.4909713491859685,0.7721696938225071,0.7977641042065278,61.70980687362846
46,0.90583754,0.20249707,0.48228997,0.7864511,0.47907472,0.77404505,0.813963,63.48797678947449,0.9089190779617522,0.19065706169259788,0.4003030733522747,0.777348956390828,0.49501108507075714,0.7756248613770674,0.8013830536640414,62.1321024215617
47,0.8751073,0.1589913,0.29632556,0.73998,0.46278003,0.6805432,0.7665323,56.860846281051636,0.9050717666104006,0.18869460515506273,0.38785465215890547,0.7750220702803412,0.4881121221051223,0.7698322598138,0.7996228393759909,61.6315759357089
48,0.89050895,0.19907962,0.47168005,0.779012,0.42964193,0.7556153,0.83916545,62.35290169715881,0.9023549307271226,0.19379747957873047,0.3990700866016775,0.7733893910309888,0.4711706652240302,0.762829440064298,0.8018335005060976,61.492078481899206
49,0.9158562,0.20894334,0.4521243,0.798717,0.5561292,0.80273116,0.82579654,65.14711380004883,0.9050112658252023,0.1948102335345072,0.4201420216809324,0.7769122650134235,0.4753914766914149,0.7734553076958373,0.8053277130048927,62.15786119208872
50,0.86863005,0.23393242,0.3759699,0.8051358,0.49066794,0.81698906,0.8335467,63.21244835853577,0.8991305293058253,0.1918094697548284,0.4097496119186186,0.7773947312758733,0.4783041247864601,0.7755473235539749,0.8066451604951144,61.97972787272422
51,0.9146176,0.20799159,0.4106114,0.7624344,0.5459027,0.732989,0.7635003,61.9720995426178,0.902284960600398,0.19526065640475657,0.40578973859526446,0.7743557526211813,0.4889762627533111,0.7661596014250938,0.8067747342574844,61.994310095107
52,0.916047,0.19487102,0.48364854,0.78068835,0.5878113,0.78127414,0.81375545,65.1156485080719,0.9038003955168793,0.19887634184648786,0.41688282621145495,0.7762043000255587,0.4977210119490575,0.7663374937106904,0.8168588815760071,62.52401786908764
53,0.9006808,0.21991451,0.35247466,0.7877544,0.42876118,0.817954,0.7414811,60.70030331611633,0.9038580375068764,0.20192215818426346,0.4116256999584235,0.7800322322985053,0.4895342347487009,0.7740435571785237,0.8118093484312218,62.468932404378776
54,0.91388935,0.2889397,0.45876876,0.8074818,0.54305565,0.8114286,0.8416005,66.64520502090454,0.9053865103377358,0.21662892188840088,0.4146376565395123,0.7830873105621443,0.49464491410189293,0.7724402072844218,0.8188346373987173,62.93800225875464
55,0.90185535,0.25955397,0.42600134,0.79873985,0.5092162,0.802931,0.85590696,65.06007313728333,0.9073602036085804,0.22709291576998364,0.4213735316549512,0.7871396017182059,0.5030610942725962,0.7778480722063625,0.830090530802354,63.62808500047191
56,0.9108799,0.30490372,0.24661256,0.8035672,0.5782886,0.78385216,0.8354105,63.764488697052,0.9079829410496982,0.23165813294476556,0.4052760074064616,0.7855383222991977,0.5118843717352614,0.7712695235323169,0.8262904705630718,63.427139564725344
57,0.88106364,0.19952823,0.3338769,0.78037614,0.43736428,0.77692586,0.86339724,61.03617548942566,0.9023271891348646,0.22302048047511347,0.40949267957154367,0.7853649599193592,0.4948412324672175,0.7739641014458531,0.8276596137416738,63.09528938222322
58,0.9139167,0.19168116,0.3934926,0.7355084,0.524409,0.72508985,0.60092336,58.357441425323486,0.9048295434518312,0.21906738107212895,0.41574830166910326,0.779501957126058,0.5008332149402558,0.7683388876946452,0.7945450997925975,62.612348367808856
59,0.91318053,0.28217772,0.46614733,0.82493603,0.50919014,0.8349976,0.85162455,66.88933968544006,0.9082981807449524,0.22433494729898087,0.42696231811511126,0.7854933245480135,0.509077006743201,0.7780126569650742,0.8014289651189846,63.33724856477597
60,0.9107756,0.32512504,0.46274698,0.7984924,0.5538294,0.8055201,0.82628405,66.89676642417908,0.9092681019599562,0.24874629532709563,0.4202211725127552,0.7867984956042836,0.5169802776364553,0.7779247235643464,0.8047322744990766,63.781019158628126
61,0.88780016,0.1850337,0.2989725,0.7695771,0.4860456,0.80373514,0.7488765,59.714871644973755,0.9048826855654002,0.24633290151980797,0.40428163825392704,0.7860248983830314,0.5074581504394822,0.7831841339940928,0.794651915272878,63.240233191837426
62,0.90072244,0.17286855,0.435301,0.7951926,0.50588465,0.80359507,0.8197401,63.332927227020264,0.9055904215079195,0.24817201449687787,0.4116369816986691,0.7880624452554947,0.5079820661202732,0.7846799571656834,0.8012612234167067,63.534072995166056
63,0.8727404,0.21993996,0.44713378,0.7907078,0.48020747,0.8012144,0.8441343,63.65825533866882,0.8996720096374912,0.2441232146457782,0.4235332503471223,0.7877520799648923,0.49997115961164795,0.7847377455670148,0.8071202342341259,63.527281342972465
64,0.9194851,0.2716924,0.4966254,0.8315473,0.6043444,0.83533466,0.8495802,68.69441866874695,0.9046122109405753,0.2450357982438023,0.43937671983614984,0.7921675853478121,0.5152071420435957,0.7867580113105979,0.815011602791676,64.25955815020299
65,0.9192142,0.16341458,0.26121053,0.77664346,0.55346584,0.7584405,0.8058486,60.54624915122986,0.9070450484423679,0.23630906287278813,0.39729878105639277,0.7885796986917467,0.5174904308220303,0.7823751574794251,0.8166556245615403,63.510768627518445
66,0.8968963,0.17593068,0.5279922,0.78658,0.49423864,0.8013688,0.836938,64.57063555717468,0.9057906211450393,0.22550555779474357,0.4107241633357493,0.7888122987693745,0.5200595594702342,0.7831623174644226,0.8252079883253475,63.70375009007015
67,0.8877796,0.25305662,0.452614,0.7401312,0.43414298,0.7528361,0.681901,60.03516912460327,0.9038089107461581,0.23144180097854164,0.4201775795987349,0.785997631736671,0.5031086948123444,0.7748681458430849,0.808889230394442,63.2613142015711
68,0.91055495,0.26865298,0.46665823,0.8012944,0.58208966,0.7877948,0.8481891,66.64620041847229,0.9041371498496468,0.23271839139034056,0.41784102789444566,0.7887294344274494,0.5091094484462844,0.7761054448974557,0.8138474818733893,63.46411969684303
69,0.90548813,0.31090754,0.4889309,0.81640065,0.52571917,0.8549644,0.8844836,68.38420033454895,0.9054674521313429,0.24700872379255517,0.4338291345587526,0.7911947181481689,0.5157330790550543,0.7833618036671365,0.8241213044598326,64.29594594018347
70,0.92299503,0.19949883,0.24481,0.79754853,0.6024374,0.7866677,0.853985,62.97060251235962,0.9080964298868069,0.24481048124244792,0.41624926049992167,0.7916579972597866,0.522131419705181,0.7845251382294559,0.8275368344003762,64.2143937317711
71,0.91190207,0.25080016,0.44158632,0.78160745,0.42670062,0.8075198,0.7639201,62.62909173965454,0.9080342988277503,0.24598435029554314,0.4149890524961348,0.7895846096831562,0.5048511778476255,0.786439725487026,0.818454337868267,63.83339360722147
72,0.9143513,0.23343316,0.48050705,0.7694676,0.55873835,0.7489318,0.7993702,64.35427665710449,0.9104596748583103,0.2517226488183843,0.4328792327983104,0.7891401530141724,0.516448058452801,0.7847376798362823,0.8192368756474351,64.35177604893852
73,0.92219305,0.1667816,0.4709084,0.7963939,0.5788163,0.7310147,0.84816724,64.48965072631836,0.9110230842371361,0.24169246249263607,0.4298653746825898,0.7882852729132418,0.5206305348008375,0.7748661740798625,0.8191625491679979,64.0789350339186
74,0.9156675,0.21074723,0.4884163,0.78447,0.59389746,0.73319733,0.88098896,65.8197820186615,0.9103333206662598,0.24040731470687562,0.43559302433056807,0.7869928165207354,0.5226528068087495,0.7660762324652796,0.8262808470066233,64.11909089292988
75,0.9194654,0.15523227,0.4471258,0.77828074,0.6050165,0.7672389,0.75010693,63.17809224128723,0.910421518492867,0.22583384612452126,0.41829924049476275,0.7828682375419579,0.5277202545854038,0.7670934897433691,0.8167557451657106,63.55703331640845
76,0.9146456,0.2561075,0.3938025,0.8116721,0.5547191,0.79700094,0.8533804,65.44753909111023,0.9103183627105056,0.23428555862330844,0.41912991421559526,0.7861132931867233,0.5247282964216552,0.7659931272195589,0.8263104845108205,63.81255766983095
77,0.9176298,0.26442134,0.3305659,0.7920219,0.44546783,0.8091365,0.8668853,63.23040723800659,0.9121329832326179,0.24443317989558602,0.37657737021311993,0.7856430345008556,0.5099679609877156,0.7690201398346921,0.8293022775521798,63.243956374525254
78,0.92330825,0.18465148,0.2774954,0.8030918,0.5286912,0.81493926,0.81857485,62.15359568595886,0.9121746761554649,0.24135509548470538,0.36940299385469044,0.7880890539585219,0.5076683737759355,0.7725031180913494,0.8249161764652542,63.087278396941734
79,0.91447943,0.24238734,0.45217928,0.7848978,0.5838346,0.8007525,0.7540665,64.75139260292053,0.9140051707560405,0.24823343803326395,0.38384597799123776,0.7882500813157699,0.5140936083370541,0.7802516290983834,0.8206193750009906,63.561418293324856
80,0.90764755,0.30509675,0.47634467,0.80597955,0.52464354,0.81100714,0.83954614,66.71807169914246,0.9138830830456102,0.2705613953593466,0.40556643395579234,0.7925178614434304,0.5136589558841685,0.7875760012143697,0.8213495484786898,64.3587611340201
81,0.8944009,0.16988109,0.38148302,0.807039,0.49188086,0.8491185,0.83156985,63.21961283683777,0.9105898000391778,0.26101153699170465,0.3966031366472171,0.7951098205936192,0.5075733387472964,0.793356101276541,0.8270515852596453,64.16136170793145
82,0.91812444,0.1747325,0.47524995,0.7734192,0.5407587,0.78154576,0.8495011,64.47616219520569,0.9122942514966479,0.2514089360858111,0.41425956834437005,0.7934081735288357,0.5138362295591067,0.7912033034000966,0.8296187584509446,64.37184601236875
83,0.9036339,0.29346824,0.46102452,0.80145895,0.54027236,0.8071444,0.8306652,66.25239253044128,0.9122108081122344,0.2520154302927864,0.4292378579056599,0.79292472664453,0.514107828809095,0.7929847088264508,0.8275650748416903,64.58637764903496
84,0.8567777,0.24461474,0.25830564,0.78329873,0.4300458,0.7952128,0.8545075,60.32518744468689,0.9042964834305289,0.2507742146450636,0.4160378606582536,0.7918436569925098,0.4996879688905399,0.7891164566782581,0.8302079096584638,64.02806501362312
