epoch,IoU1,IoU2,IoU3,IoU4,IoU5,mIoU,valIoU1,valIoU2,valIoU3,valIoU4,valIoU5,mVal_IoU
32,0.8282047,0.7248913,0.100318246,0.75237036,0.81343305,64.38435316085815,0.8856335965914555,0.654103648567837,0.23741275307018972,0.7643311515652513,0.7806787520981697,66.44319803785808
33,0.9082509,0.6644366,0.24787337,0.79306984,0.8291728,68.85607242584229,0.8899349361497126,0.6605839717660038,0.23583972590394836,0.7706350338170688,0.7873804493305181,66.88748233934504
34,0.9211411,0.5439108,0.38883224,0.7618274,0.82037526,68.72173547744751,0.8951541659084068,0.6454644660949195,0.24723481179250278,0.7691778399081012,0.7822459807655778,66.78554528939016
35,0.8919779,0.60023844,0.18514772,0.768038,0.8498308,65.90465903282166,0.8945965808424414,0.6392252595797938,0.24263825217829543,0.7682560677677536,0.7890873258860737,66.67606972508715
36,0.9152681,0.6270623,0.19268785,0.77352995,0.73425585,64.85608220100403,0.9014471524756998,0.6462509183618205,0.23482293722970785,0.7740060905586983,0.7822395880694235,66.775333733907
37,0.8996182,0.55768746,0.23570666,0.75469553,0.8358279,65.67071676254272,0.904668799276131,0.6390360345676974,0.23254659656671167,0.7748783922961179,0.791026219472432,66.8431208435818
38,0.900227,0.66281873,0.16262242,0.7794576,0.7708066,65.51864743232727,0.9041206539786492,0.6454229066115788,0.23207093940266646,0.7762478651929837,0.7842447259751593,66.84214182322074
39,0.91660607,0.68590474,0.32620713,0.7932542,0.70866305,68.61270666122437,0.9061043451184818,0.6624076714504976,0.24199854075980057,0.782384855969611,0.7708196640745599,67.27430154745902
40,0.9107376,0.66302556,0.30897844,0.7961333,0.8317899,70.21329998970032,0.9089923588983948,0.665617058021101,0.24896450684461097,0.786208926814931,0.7806024499638808,67.80770601085837
41,0.90115744,0.66972595,0.2713126,0.7901901,0.85273725,69.70247030258179,0.905834941730717,0.6739549746234968,0.24712770501109632,0.7883057150890577,0.792704662959516,68.15855998827767
42,0.9185947,0.7137975,0.32696638,0.80731237,0.8270954,71.87532186508179,0.9102449408824668,0.6806102251178572,0.25365776156818537,0.7932336917147633,0.806436555245965,68.88366349058475
43,0.8634826,0.60191095,0.27011725,0.74097896,0.77279955,64.98578786849976,0.9017489102148938,0.677302214036679,0.2475720726969565,0.7866200328088133,0.8003864610187125,68.2725938155211
44,0.9273314,0.6561563,0.25149122,0.7751408,0.78544194,67.91123151779175,0.9084000824916055,0.6770913361668406,0.2462629093827511,0.7876863103068832,0.8010975015804868,68.41076279857134
45,0.91702294,0.6179525,0.36071536,0.7833911,0.8307051,70.19574046134949,0.9089595018417046,0.6760701105970189,0.25414134414563516,0.7888896151686228,0.802013644770042,68.60148433046047
46,0.9065041,0.65875113,0.33603257,0.7952399,0.86185575,71.16767168045044,0.909004411308262,0.6861201447111236,0.249007500452179,0.7955257163667688,0.8144458009385774,69.08207147553821
47,0.8701357,0.7212328,0.27556416,0.774896,0.79179156,68.67240071296692,0.899083046322035,0.6916644418082337,0.25502859419648544,0.7895903044437348,0.8191770507214587,69.09086874983895
48,0.89177734,0.69915426,0.30316785,0.7924859,0.8158069,70.04784345626831,0.9011713027570935,0.6914497361453965,0.2534781668011995,0.7928066580285104,0.8229833705334794,69.23778468531358
