epochs steps out_loss offset_loss train_accuracy time
2 8 0.227 2.949 0.910 73.235
2 9 0.226 2.771 0.914 73.601
2 10 0.218 2.847 0.910 73.954
2 11 0.547 2.074 0.765 74.186
2 12 0.397 2.598 0.849 74.518
2 13 0.682 3.751 0.749 74.825
2 14 0.271 2.552 0.887 75.075
2 15 0.164 2.671 0.953 75.381
2 16 0.259 2.703 0.888 75.706
2 17 0.355 2.701 0.858 75.972
2 18 0.311 2.267 0.888 76.220
2 19 0.399 3.771 0.898 76.661
2 20 0.250 2.818 0.891 76.992
2 21 0.199 3.222 0.929 77.386
2 22 0.196 2.910 0.925 77.734
2 23 0.297 2.443 0.865 78.028
2 24 0.205 2.446 0.922 78.245
2 25 0.300 2.287 0.889 78.520
2 26 0.164 3.538 0.952 79.023
2 27 0.213 2.651 0.917 79.374
2 28 0.279 2.884 0.898 79.757
2 29 0.181 2.843 0.933 80.086
2 30 0.456 2.445 0.811 80.360
2 31 1.189 2.282 0.646 80.583
2 32 0.327 2.533 0.879 80.790
2 33 0.356 2.386 0.844 81.053
2 34 0.231 2.630 0.899 81.334
2 35 0.177 3.583 0.962 81.829
2 36 0.385 2.451 0.841 82.094
2 37 0.860 2.231 0.713 82.283
2 38 0.356 3.241 0.852 82.645
2 39 0.305 2.271 0.879 82.893
2 40 0.303 2.894 0.861 83.232
2 41 0.573 2.498 0.765 83.472
2 42 0.173 2.655 0.931 83.792
2 43 0.309 3.138 0.884 84.096
2 44 0.307 2.747 0.849 84.555
2 45 0.375 2.082 0.866 84.811
2 46 0.221 2.964 0.902 85.161
2 47 0.216 2.726 0.910 85.476
2 48 0.154 2.836 0.945 85.869
2 49 0.436 2.422 0.805 86.100
2 50 0.252 2.029 0.923 86.302
2 51 0.241 2.664 0.897 86.618
2 52 0.187 2.664 0.931 86.944
2 53 0.157 2.818 0.945 87.285
2 54 0.567 2.685 0.788 87.504
2 55 0.334 3.425 0.909 87.949
2 56 0.396 2.462 0.847 88.204
2 57 0.238 2.872 0.921 88.515
2 58 0.389 2.099 0.851 88.753
2 59 0.201 3.358 0.962 89.171
2 60 0.264 2.309 0.900 89.413
2 61 0.386 2.141 0.872 89.613
2 62 0.937 2.103 0.625 89.785
2 63 0.266 2.972 0.891 90.106
2 64 0.164 2.936 0.946 90.413
2 65 0.355 2.252 0.826 90.654
2 66 0.257 2.748 0.889 90.977
2 67 0.341 2.377 0.848 91.216
2 68 0.247 2.372 0.904 91.460
2 69 0.282 2.219 0.919 91.699
2 70 0.371 2.450 0.869 91.965
2 71 0.333 2.948 0.851 92.393
2 72 0.285 2.806 0.889 92.744
2 73 1.266 3.285 0.720 93.160
2 74 0.172 2.718 0.933 93.510
3 0 0.226 2.827 0.902 103.590
3 1 0.199 2.943 0.924 103.934
3 2 0.307 2.685 0.888 104.212
3 3 0.361 2.634 0.852 104.552
3 4 0.430 2.227 0.832 104.775
3 5 0.199 2.811 0.917 105.083
3 6 0.365 1.953 0.859 105.300
3 7 0.412 2.639 0.826 105.598
3 8 0.266 3.305 0.904 105.989
3 9 0.341 2.714 0.891 106.197
3 10 0.281 2.235 0.906 106.439
3 11 0.177 2.479 0.931 106.722
3 12 0.178 3.136 0.922 107.058
3 13 0.329 2.299 0.878 107.358
3 14 0.413 2.108 0.823 107.569
3 15 0.198 2.878 0.925 107.902
3 16 0.317 2.108 0.886 108.128
3 17 0.202 2.872 0.919 108.485
3 18 0.217 2.388 0.928 108.746
3 19 0.163 2.616 0.940 109.043
3 20 0.245 2.447 0.917 109.295
3 21 0.253 2.669 0.899 109.613
3 22 0.255 2.852 0.887 110.078
3 23 0.325 2.738 0.882 110.503
3 24 0.156 2.772 0.944 110.865
3 25 0.565 3.209 0.751 111.070
3 26 0.285 2.121 0.901 111.254
3 27 0.292 2.236 0.904 111.508
3 28 0.197 2.701 0.923 111.855
3 29 0.864 3.595 0.764 112.035
3 30 0.316 2.768 0.883 112.251
3 31 0.202 2.750 0.919 112.561
3 32 0.258 2.748 0.886 112.858
3 33 0.247 2.924 0.921 113.130
3 34 0.897 3.245 0.808 113.485
3 35 0.270 2.308 0.899 113.773
3 36 0.152 2.735 0.949 114.142
3 37 0.507 2.081 0.840 114.369
3 38 0.220 2.674 0.911 114.697
3 39 0.205 2.443 0.916 114.963
3 40 0.389 2.059 0.847 115.162
3 41 0.297 2.318 0.883 115.419
3 42 0.373 2.113 0.849 115.622
3 43 0.284 2.803 0.883 115.910
3 44 0.215 3.122 0.911 116.367
3 45 0.172 2.724 0.937 116.737
3 46 0.372 2.531 0.859 117.041
3 47 0.326 2.484 0.858 117.344
3 48 0.662 3.356 0.850 117.617
3 49 0.205 3.111 0.914 117.976
3 50 0.190 2.330 0.921 118.230
3 51 0.169 2.706 0.934 118.566
3 52 0.316 2.082 0.904 118.780
3 53 0.117 2.953 0.964 119.069
3 54 0.317 2.793 0.867 119.299
3 55 0.527 2.070 0.765 119.550
3 56 0.305 1.950 0.898 119.739
3 57 0.201 2.730 0.912 120.100
3 58 0.131 3.048 0.954 120.460
3 59 0.263 2.132 0.922 120.684
3 60 0.322 2.066 0.871 120.834
3 61 0.364 3.581 0.860 121.170
3 62 0.272 2.408 0.903 121.460
3 63 0.169 2.734 0.938 121.908
3 64 0.177 2.933 0.930 122.335
3 65 0.217 2.350 0.911 122.612
3 66 0.301 2.653 0.885 122.848
3 67 0.164 2.802 0.936 123.172
3 68 0.295 1.939 0.889 123.384
3 69 0.200 3.127 0.924 123.737
3 70 0.280 2.452 0.900 124.015
3 71 0.208 3.185 0.922 124.396
3 72 0.205 2.880 0.910 124.778
3 73 0.605 2.108 0.751 125.006
3 74 0.196 2.608 0.917 125.322
4 0 0.164 2.623 0.935 134.654
4 1 0.140 2.582 0.953 135.017
